,book_name,book_writer,translator,book_date,book_page,ori_book_price,sale_book_price,mileage
214,"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용", 홍성용 , , 2015-06-08, 672 ,27000,27000,810
215,전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS, 장윤석 , , 2015-05-30, 312 ,22000,22000,660
216,"IT CookBook, Play 포토샵", 원다예 , , 2015-04-27, 410 ,22000,22000,660
217,"IT CookBook, 엑셀과 파워포인트 2013 개정판", 강동진 외 4 , , 2015-04-10, 556 ,22000,22000,660
218,"IT CookBook, 비주얼 베이직 2010 for Beginner", 임관철 , , 2015-02-26, 432 ,24000,24000,720
219,"IT CookBook, C C++로 배우는 자료구조론", 주우석 , , 2015-02-24, 696 ,23000,23000,690
220,"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템", 이종형 , , 2015-02-24, 480 ,28000,28000,840
221,"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습"," 신종홍 , 장선봉 , 지인호 ", , 2015-02-16, 600 ,25000,25000,750
222,"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지", 하숙정 , , 2015-02-16, 520 ,20000,20000,600
223,정보보안 기사 & 산업기사 (필기)," 윤대원 , 박인근 ", , 2015-02-11, 672 ,29000,29000,870
224,"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013", 김주영 , , 2015-02-02, 464 ,22000,22000,660
225,"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지", 이철희 , , 2015-01-09, 628 ,28000,28000,840
226,"IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지", 정완보 , , 2015-01-01, 384 ,20000,20000,600
227,"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications", 한동석 , , 2015-01-01, 352 ,24000,24000,720
228,공학 핵심수학 : Core Mathematics for Engineering, 함남우 , , 2015-01-01, 372 ,20000,20000,600
229,"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!"," 채종서 , 차유빈 ", , 2014-12-17, 496 ,20000,20000,600
230,"IT CookBook, Compact C 프로그래밍", 김충석 , , 2014-12-15, 536 ,24000,24000,720
231,"IT CookBook, 스마트 시대의 멀티미디어 : 멀티미디어 기본 이론부터 최신 기술 동향까지"," 김용태 , 박길철 ", , 2014-12-15, 600 ,28000,28000,840
232,"IT CookBook, 한글 2014 for Beginner", 양숙희 , , 2014-12-04, 152 ,10000,10000,300
233,"IT CookBook, 엑셀 2013 for Beginner", 양숙희 , , 2014-11-28, 152 ,10000,10000,300
234,"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림", 강문식 , , 2014-11-27, 520 ,26000,26000,780
235,"IT CookBook, 워드 2013 for Beginner", 최희식 , , 2014-10-28, 160 ,10000,10000,300
236,"IT CookBook, 파워포인트 2013 for Beginner", 최희식 , , 2014-10-28, 176 ,10000,10000,300
237,이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비, 이재원 , , 2014-10-10, 400 ,26000,26000,780
238,"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법", 문병로 , , 2014-09-02, 284 ,23000,23000,690
239,"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리", 우종정 , , 2014-08-11, 572 ,26000,26000,780
240,"IT CookBook, 초보자의 첫 번째 한글 2010", 양숙희 , , 2014-08-01, 152 ,10000,10000,300
241,"IT CookBook, C 언어로 배우는 8051 마이크로프로세서", 임석구 , , 2014-07-28, 596 ,25000,25000,750
242,"IT CookBook, 회로이론 : Circuits"," Fawwaz T. Ulaby , Michel M. Maharbiz "," 박병국 , 조성재 , 강인만 , 김중빈 ", 2014-07-22, 708 ,34000,34000,1020
243,"IT CookBook, 실무로 완성하는 최신 안테나 공학 : 이론에서 실무까지"," Yi Huang , Kevin Boyle ", 유태훈 , 2014-07-14, 480 ,25000,25000,750
244,"Introduction To Algorithms, Third Edition"," 토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 "," 문병로 , 심규석 , 이충세 ", 2014-07-10, 1348 ,47000,47000,1410
245,이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics, 안승철 , , 2014-07-10, 408 ,23000,23000,690
246,공학 기초수학 : Basic Mathematics for Engineering, 함남우 , , 2014-07-07, 412 ,18000,18000,540
247,"IT CookBook, 컴퓨터 비전", 오일석 , , 2014-07-01, 600 ,35000,35000,1050
248,실전으로 배우는 발명·특허, 윤상원 , , 2014-06-30, 300 ,22000,22000,660
