회차,1등총당첨액,2등총당첨액,3등총당첨액,4등총당첨액,5등총당첨액,인당1등당첨액,인당2등당첨액,인당3등당첨액,인당4등당첨액,인당5등당첨액,1등당첨인원수,2등당첨인원수,3등당첨인원수,4등당첨인원수,5등당첨인원수,총판매금액
121,13679296200,2279882724,2279883540,4559824296,5768445000,6839648100,73544604,1698870,67589,5000,2,31,1342,67464,1153689,57134544000
122,13050664200,2175110728,2175111587,4350282302,6334745000,1450073800,57239756,1550329,59989,5000,9,38,1403,72518,1266949,56171704000
123,12664913400,2110818908,2110819102,4221654712,5940535000,2532982680,55547866,1429126,58036,5000,5,38,1477,72742,1188107,54097448000
124,12563426403,2093904407,2093905660,4187832320,6151375000,1395936267,56592011,1359679,55808,5000,9,37,1540,75040,1230275,54180838000
125,12284095502,2047349268,2047349408,4094751540,6101360000,1754870786,56870813,1417832,55140,5000,7,36,1444,74261,1220272,53149705000
126,12323713500,2053952250,2053952333,4107914460,5834960000,1369301500,58684350,1427347,57558,5000,9,35,1439,71370,1166992,52748965000
127,11795634900,1965939188,1965939389,3931887100,5716910000,1965939150,45719516,1537091,58532,5000,6,43,1279,67175,1143382,50752603000
128,12384258600,2064043115,2064043360,4128097974,5514765000,2064043100,89741005,1731580,65221,5000,6,23,1192,63294,1102953,52310392000
129,12029926205,2004987700,2004988680,4010042244,5728000000,1093629655,40099754,1361160,56381,5000,11,50,1473,71124,1145600,51555754000
130,12145986600,2024331120,2024332238,4048711464,5436195000,3036496650,67477704,1590206,63672,5000,4,30,1273,63587,1087239,51359012000
131,11609715904,1934952657,1934954280,3869924196,5766360000,1451214488,58634929,1176264,52372,5000,8,33,1645,73893,1153272,50231773000
132,11681894100,1946982358,1946983712,3893968881,5491125000,2920473525,57264187,1408816,59653,5000,4,34,1382,65277,1098225,49921897000
133,11601940800,1933656840,1933656932,3867372594,6108395000,1450242600,37914840,1319002,50709,5000,8,51,1466,76266,1221679,50889926000
134,11745775500,1957629250,1957629898,3915285150,5646495000,2349155100,39152585,1366106,56175,5000,5,50,1433,69698,1129299,50445575000
135,12021054605,2003509116,2003509616,4007080329,5496245000,1717293515,71553897,1406959,60529,5000,7,28,1424,66201,1099249,51062672000
136,11986164900,1997694166,1997694401,3995395527,5595375000,1997694150,76834391,1561919,59639,5000,6,26,1279,66993,1119075,51144633000
137,11433631203,1905605200,1905605424,3811218425,5933275000,1270403467,47640130,1207608,52255,5000,9,40,1578,72935,1186655,49978654000
138,11135760000,1855960000,1855961082,3711946290,5284625000,2227152000,57998750,1483582,60623,5000,5,32,1251,61230,1056925,47688450000
139,11551471505,1925245252,1925245584,3850501143,4933090000,1650210215,68758759,1706778,67233,5000,7,28,1128,57271,986618,48371085000
140,10547314200,1757885714,1757886380,3515805524,5412875000,2109462840,51702521,1341898,54617,5000,5,34,1310,64372,1082575,45983464000
141,11403314400,1900552410,1900553512,3801121524,5002955000,1900552400,65536290,1661323,65308,5000,6,29,1144,58203,1000591,48016958000
142,11200921204,1866820200,1866821034,3733672590,5338220000,1018265564,66672150,1407859,57795,5000,11,28,1326,64602,1067644,48012844000
143,11863754100,1977292380,1977293334,3954595730,4934755000,3954584700,56494068,1672837,69221,5000,3,35,1182,57130,986951,49415357000
144,11219523304,1869920568,1869921942,3739909296,5902055000,1402440413,49208436,1248279,50416,5000,8,38,1498,74181,1180411,49202521000
145,11393514600,1898919128,1898919176,3797867280,5467725000,3797838200,49971556,1560328,60169,5000,3,38,1217,63120,1093545,48913832000
146,12086830500,2014471780,2014472268,4028984036,5194060000,6043415250,59249170,1456596,64439,5000,2,34,1383,62524,1038812,50677555000
147,11900281505,1983380280,1983380580,3966781896,5339000000,1700040215,56668008,1632412,63558,5000,7,35,1215,62412,1067800,50345605000
148,11617982100,1936330375,1936331475,3872694392,5398320000,2323596420,55323725,1634035,61124,5000,5,35,1185,63358,1079664,49523247000
149,11473365001,1912227501,1912227777,3824490150,5081200000,1639052143,44470407,1632987,63267,5000,7,43,1171,60450,1016240,48406950000
150,11326583400,1887763916,1887764351,3775536400,5504250000,2831645850,41038346,1475969,57907,5000,4,46,1279,65200,1100850,48763778000
151,10866536100,1811089350,1811089371,3622232250,5567640000,2716634025,40246430,1214681,53073,5000,4,45,1491,68250,1113528,47357067000
152,11390659200,1898443200,1898443360,3796922052,5105735000,2278131840,63281440,1603415,62986,5000,5,30,1184,60282,1021147,48180334000
153,10922104500,1820350792,1820352048,3640716750,5685360000,2730526125,35006746,1258888,50875,5000,4,52,1446,71562,1137072,47777735000
154,11346514800,1891085824,1891086665,3782195307,5100335000,2836628700,59096432,1590485,62847,5000,4,32,1189,60181,1020067,48022386000
155,10737051606,1789508626,1789509150,3579054794,5175015000,1193005734,48365098,1390450,56917,5000,9,37,1287,62882,1035003,46140202000
156,11208799200,1868133210,1868133840,3736322234,4990960000,1401099900,62271107,1518808,62789,5000,8,30,1230,59506,998192,47344584000
157,10969807500,1828301272,1828301475,3656646450,5143670000,5484903750,65296474,1582945,59313,5000,2,28,1155,61650,1028734,46853365000
158,10695443400,1782573930,1782574956,3565207090,5358705000,1069544340,39612754,1175841,52499,5000,10,45,1516,67910,1071741,46368888000
159,10532443800,1755407304,1755407556,3510822963,4601890000,1755407300,73141971,1639036,63911,5000,6,24,1071,54933,920378,44311926000
160,10981610700,1830268480,1830268856,3660575760,5113935000,5490805350,57195890,1696264,62382,5000,2,32,1079,58680,1022787,46833239000
161,13978133904,2096355681,2096356619,4192747599,5584670000,1996876272,33275487,1517999,63303,5000,7,63,1381,66233,1116934,53096453000
162,11541328800,1923554820,1923555548,3847162685,5289495000,2308265760,58289540,1641259,62857,5000,5,33,1172,61205,1057899,49050086000
163,11408085605,1901347635,1901347640,3802755380,5496000000,1629726515,40454205,1367876,57095,5000,7,47,1390,66604,1099200,49018952000
164,12164813700,2027468976,2027469156,4055009310,6251370000,4054937900,51986384,1246906,54186,5000,3,39,1626,74835,1250274,53052119000
165,13534853400,2255808920,2255809905,4511656800,6485970000,6767426700,56395223,1469583,57240,5000,2,40,1535,78820,1297194,58088118000
166,12224299802,2037383320,2037384129,4074833094,5704900000,1111299982,72763690,1351947,57594,5000,11,28,1507,70751,1140980,52157466000
167,12456114600,2076019128,2076019751,4152074528,5612005000,2491222920,57667198,1581127,64666,5000,5,36,1313,64208,1122401,52744392000
168,11749734600,1958289102,1958289168,3916600776,6165215000,2349946920,36264613,1268322,52569,5000,5,54,1544,74504,1233043,51496212000
169,12414441900,2069073672,2069073859,4138153770,5347355000,2482888380,66744312,1766929,65994,5000,5,31,1171,62705,1069471,52076183000
170,11538649500,1923108264,1923109496,3846248430,5628040000,1923108250,71226232,1469144,57381,5000,6,27,1309,67030,1125608,49718245000
171,11768038200,1961339714,1961340392,3922708673,5565340000,1961339700,103228406,1420232,54893,5000,6,19,1381,71461,1113068,50357474000
172,11892694803,1982115815,1982116708,3964277184,5557975000,1081154073,104321885,1553383,60564,5000,11,19,1276,65456,1111595,50758266000
173,11901894304,1983649059,1983649952,3967358313,6306770000,1487736788,31486493,1369924,50637,5000,8,63,1448,78349,1261354,52286521000
174,12397721406,2066286924,2066287150,4132636420,5507415000,1771103058,79472574,1559462,63580,5000,7,26,1325,64999,1101483,52340568000
175,11855663100,1975943856,1975943934,3951897705,5688135000,2371132620,41165497,1466922,58473,5000,5,48,1347,67585,1137627,50895147000
176,11573315400,1928885920,1928887140,3857840145,5955405000,2314663080,48222148,1256604,50305,5000,5,40,1535,76689,1191081,50488528000
177,11852998500,1975499760,1975499820,3951019092,5485165000,1693285500,65849992,1567857,61316,5000,7,30,1260,64437,1097033,50480325000
178,11273105400,1878850908,1878852348,3757758768,6002870000,2254621080,42701157,1199778,50364,5000,5,44,1566,74612,1200574,49582758000
179,10810939200,1801823245,1801824640,3603713384,5627615000,1081093920,33996665,1170016,51514,5000,10,53,1540,69956,1125523,47291694000
180,11526743100,1921123855,1921124652,3842289484,5236500000,5763371550,54889253,1496203,61109,5000,2,35,1284,62876,1047300,48895477000
181,11650579800,1941763320,1941764157,3883557302,5144590000,1941763300,80906805,1574829,64046,5000,6,24,1233,60637,1028918,49124446000
182,11164318200,1860719740,1860720860,3721441284,5004100000,3721439400,42289085,1515245,63071,5000,3,44,1228,59004,1000820,47222594000
183,10663329000,1777221500,1777222302,3554501328,5197015000,1777221500,71088860,1373433,52944,5000,6,25,1294,67137,1039403,45938460000
184,10486518300,1747753061,1747753403,3495511952,5274145000,1747753050,56379131,1313113,55183,5000,6,31,1331,63344,1054829,45503351000
185,10567457400,1761242908,1761243036,3522539836,5279115000,3522485800,51801262,1434237,53422,5000,3,34,1228,65938,1055823,45783088000
186,10690943400,1781823938,1781824870,3563682534,4923975000,1187882600,38735303,1524230,60849,5000,9,46,1169,58566,984795,45484428000
187,10813137300,1802189558,1802189900,3604435100,4906085000,1544733900,94852082,1438300,60295,5000,7,19,1253,59780,981217,45855961000
188,10504215600,1750702602,1750702800,3501449676,5081095000,3501405200,53051594,1326290,57188,5000,3,33,1320,61227,1016219,45176242000
189,10385325300,1730887554,1730888565,3461805111,4516400000,3461775100,52451138,1595289,66327,5000,3,33,1085,52193,903280,43650551000
190,10704956700,1784159454,1784160008,3568333567,4590635000,1784159450,54065438,1756063,66337,5000,6,33,1016,53791,918127,44864459000
191,10308458700,1718076471,1718077080,3436197900,5086670000,2577114675,74698977,1500504,57606,5000,4,23,1145,59650,1017334,44534869000
192,9781393500,1630232262,1630232442,3260470722,4715210000,2445348375,42900849,1484729,58467,5000,4,38,1098,55766,943042,42035065000
193,10213349100,1702224860,1702225330,3404463642,4871990000,3404449700,85111243,1499758,58059,5000,3,20,1135,58638,974398,43788477000
194,10602271500,1767045252,1767046208,3534090615,4585305000,2650567875,84145012,1648364,65985,5000,4,21,1072,53559,917061,44511515000
195,10108918501,1684819752,1684821086,3369644784,5339165000,918992591,25527572,996346,47916,5000,11,66,1691,70324,1067833,44374725000
196,10918147800,1819691325,1819691874,3639404377,4689835000,727876520,67395975,1198743,62663,5000,15,27,1518,58079,937967,45773496000
197,10818109800,1803018336,1803019198,3606038988,4966470000,1803018300,42929008,1467062,61588,5000,6,42,1229,58551,993294,45993306000
198,10787130300,1797855050,1797855150,3595762852,4828460000,1797855050,71914202,1712243,64564,5000,6,25,1050,55693,965692,45614021000
199,10688504400,1781417413,1781418094,3562838706,4696360000,5344252200,77452931,1698206,64281,5000,2,23,1049,55426,939272,45021068000
200,10756932904,1792822166,1792822330,3585655921,5391990000,1344616613,30910727,1292590,54137,5000,8,58,1387,66233,1078398,46640423000
201,9719465400,1619910912,1619911629,3239841285,4928275000,9719465400,43781376,1202607,53073,5000,1,37,1347,61045,985655,42254768000
202,11360350200,1893391720,1893391808,3786812856,5218100000,1893391700,47334793,1536844,60558,5000,6,40,1232,62532,1043620,48304034000
203,10822823700,1803803990,1803805136,3607642308,5478640000,2164564740,41948930,1358287,53913,5000,5,43,1328,66916,1095728,47033359000
204,10866777000,1811129503,1811130080,3622301702,4927580000,1358347125,78744761,1534856,62837,5000,8,23,1180,57646,985516,46077750000
205,11011330800,1835221815,1835222454,3670482222,4813040000,1835221800,87391515,1671423,65466,5000,6,21,1098,56067,962608,46330516000
206,10164296700,1694049480,1694049909,3388163440,5222995000,2032859340,47056930,1093641,50992,5000,5,36,1549,66445,1044599,44326979000
207,10523368800,1753894831,1753895805,3507813117,5102220000,2104673760,47402563,1457935,57627,5000,5,37,1203,60871,1020444,45282336000
208,10564604400,1760767418,1760768064,3521543999,5150515000,1760767400,51787277,1438536,54787,5000,6,34,1224,64277,1030103,45516378000
209,9965378100,1660896362,1660896468,3321806523,5267725000,1660896350,48849893,1223046,50351,5000,6,34,1358,65973,1053545,43753377000
210,10278171900,1713028684,1713029010,3426078150,5248695000,5139085950,37239754,1319745,53262,5000,2,46,1298,64325,1049739,44757963000
211,10358002500,1726333750,1726335024,3452716575,5403000000,1035800250,59528750,1319828,53295,5000,10,29,1308,64785,1080600,45332675000
212,10642989000,1773831528,1773832492,3547715538,5331245000,2660747250,49273098,1444489,55382,5000,4,36,1228,64059,1066249,46139120000
213,11013424200,1835570715,1835571351,3671236362,6016840000,1376678025,55623355,928463,38462,5000,8,33,1977,95451,1203368,48745094000
